Index,Upazila_or_Thana,District,Area_Zip_Code,Latitude,Longitude,Operator,Active_Network_Available,Network_Level,Satisfaction_Score,Real_Time_Experience
225,Gopalpur,Tangail,1990,24.5583,89.9167,GP,4G,Moderate,6,6
226,Kalihati,Tangail,1970,24.3833,90.0083,GP,4G,Moderate,6,5.5
227,Madhupur,Tangail,1996,24.61666667,90.01805556,GP,4G,Moderate,6,5.5
228,Mirzapur,Tangail,1940,24.1083,90.0917,GP,4G,Good,10,7.5
229,Nagarpur,Tangail,1936,24.05,89.86805556,GP,4G,Moderate,6,7
230,Shakhipur,Tangail,1950,24.31666667,90.16805556,GP,4G,Moderate,6,5.5
231,Tangail Sadar,Tangail,1900,24.24925,89.91318,GP,4G,Moderate,6,7
232,Bagerhat Sadar,Bagerhat,9300,22.66666667,89.8,GP,4G,Moderate,6,7
233,Chitalmari,Bagerhat,9360,22.78472222,89.86861111,GP,4G,Low,3,3.5
234,Fakirhat,Bagerhat,9370,22.76888889,89.70138889,GP,4G,Moderate,6,6
235,Kachua,Bagerhat,9310,22.65,89.88333333,GP,4G,Low,3,3.5
236,Mollahat,Bagerhat,9380,22.9417,89.7,GP,4G,Low,3,4
237,Mongla,Bagerhat,9350,22.4833,89.6083,GP,4G,Moderate,6,6
238,Morrelganj,Bagerhat,9320,22.45,89.8583,GP,4G,Moderate,6,6
239,Rampal,Bagerhat,9340,22.5667,89.6639,GP,4G,Low,3,5
240,Sharankhola,Bagerhat,9330,22.2917,89.7917,GP,4G,Low,3,4.5
241,Alamdanga,Chuadanga,7210,23.7583,88.95,GP,4G,Moderate,6,6
242,Chuadanga Sadar,Chuadanga,7200,23.6417,88.8583,GP,4G,Moderate,6,7
243,Damurhuda,Chuadanga,7220,23.6167,88.7833,GP,4G,Low,3,5
244,Jibannagar,Chuadanga,7230,23.4167,88.8208,GP,4G,Low,3,5
245,Abhoynagar,Jashore,7460,23.01666667,89.43333333,GP,4G,Low,3,5
246,Bagherpara,Jashore,7470,23.2167,89.35,GP,4G,Low,3,5
247,Chowgacha,Jashore,7410,23.2667,89.025,GP,4G,Moderate,6,5.5
248,Jashore Sadar,Jashore,7400,23.1681,89.2042,GP,4G,Good,10,7.5
249,Jhikargacha,Jashore,7420,23.1,89.1333,GP,4G,Moderate,6,7
250,Keshabpur,Jashore,7450,22.9042,89.5667,GP,4G,Low,3,4
251,Monirampur,Jashore,7440,23.0167,89.2333,GP,4G,Low,3,5
252,Sarsha,Jashore,7430,23.0744,88.8667,GP,4G,Low,3,5
253,Harinakunda,Jhenaidah,7310,23.6417,89.05,GP,4G,Moderate,6,5.5
254,Jhenaidah Sadar,Jhenaidah,7300,23.5417,89.1833,GP,4G,Moderate,6,7
255,Kaliganj,Jhenaidah,7350,23.4139,89.1333,GP,4G,Moderate,6,5.5
256,Kotchandpur,Jhenaidah,7330,23.4,89.0167,GP,4G,Moderate,6,6.5
257,Moheshpur,Jhenaidah,7340,23.35,88.9125,GP,4G,Low,3,4.5
258,Shailkupa,Jhenaidah,7320,23.6917,89.25,GP,4G,Low,3,4
259,Batiaghata,Khulna,9260,22.7417,89.5167,GP,4G,Low,3,4
260,Dacope,Khulna,9270,22.5722,89.5111,GP,4G,Low,3,3.5
261,Dighalia,Khulna,9220,22.9083,89.5333,GP,4G,Low,3,3.5
262,Dumuria,Khulna,9250,22.8083,89.425,GP,4G,Low,3,4.5
263,Koira,Khulna,9290,22.3417,89.3,GP,4G,Low,3,4
264,Paikgacha,Khulna,9280,22.5889,89.3361,GP,4G,Low,3,4
265,Phultala,Khulna,9210,22.975,89.4583,GP,4G,Moderate,6,6.5
266,Rupsa,Khulna,9240,22.8333,89.5833,GP,4G,Moderate,6,5.5
267,Terokhada,Khulna,9230,22.9417,89.6694,GP,4G,Low,3,3.5
268,Bheramara,Kushtia,7040,24.0167,88.9917,GP,4G,Moderate,6,7
269,Daulatpur,Kushtia,7050,24.0014,88.875,GP,4G,Low,3,4
270,Khoksha,Kushtia,7020,23.8,89.2833,GP,4G,Moderate,6,6
271,Kumarkhali,Kushtia,7010,23.8564724,89.114823,GP,4G,Low,3,5
272,Kushtia Sadar,Kushtia,7000,23.9,89.1333,GP,4G,Good,10,8
273,Mirpur,Kushtia,7030,23.9333,89,GP,4G,Moderate,6,7
274,Magura Sadar,Magura,7600,23.4875,89.4208,GP,4G,Good,10,8
275,Mohammadpur,Magura,7630,23.4,89.56,GP,4G,Low,3,4
276,Salikha,Magura,7620,23.34,89.36,GP,4G,Moderate,6,5.5
277,Sreepur,Magura,7610,23.6,89.3875,GP,4G,Low,3,4
278,Gangni,Meherpur,7110,23.81666667,88.755,GP,4G,Moderate,6,6
279,Meherpur Sadar,Meherpur,7100,23.775,88.6417,GP,4G,Moderate,6,6.5
280,Mujibnagar,Meherpur,7102,23.65003,88.59804,GP,4G,Low,3,4
281,Kalia,Narail,7520,23.0333,89.6167,GP,4G,Low,3,5
282,Lohagara,Narail,7510,23.1833,89.6625,GP,4G,Low,3,5
283,Narail Sadar,Narail,7500,23.175,89.505,GP,4G,Good,10,7.5
284,Assasuni,Satkhira,9460,22.55,89.1681,GP,4G,Low,3,4
285,Debhata,Satkhira,9430,22.5667,88.9667,GP,4G,Low,3,4
286,Kalaroa,Satkhira,9410,22.59,89.01,GP,4G,Moderate,6,5.5
287,Kaliganj,Satkhira,9440,22.45,89.0417,GP,4G,Low,3,5
288,Satkhira Sadar,Satkhira,9400,22.7167,89.075,GP,4G,Good,10,7.5
289,Shyamnagar,Satkhira,9450,22.3306,89.1028,GP,4G,Low,3,4
290,Tala,Satkhira,9420,22.75,89.25,GP,4G,Low,3,3.5
291,Bakshiganj,Jamalpur,2140,25.225,89.875,GP,4G,Low,3,3
292,Dewanganj,Jamalpur,2030,25.1417,89.7833,GP,4G,Low,3,3.5
293,Islampur,Jamalpur,2020,25.0833,89.7917,GP,4G,Moderate,6,5.5
294,Jamalpur Sadar,Jamalpur,2000,24.9167,89.9583,GP,4G,Good,10,7.5
295,Madarganj,Jamalpur,2040,24.8917,89.75,GP,4G,Moderate,6,6.5
296,Melendah,Jamalpur,2010,24.9667,89.8333,GP,4G,Low,3,5
297,Sarishabari,Jamalpur,2050,24.7417,89.8333,GP,4G,Moderate,6,5.5
298,Bhaluka,Mymensingh,2240,24.375,90.37833333,GP,4G,Moderate,6,6.5
299,Dhobaura,Mymensingh,2416,25.0917,90.5333,GP,4G,Low,3,3
300,Fulbaria,Mymensingh,2216,24.6333,90.2667,GP,4G,Moderate,6,6
301,Gaffargaon,Mymensingh,2230,24.4167,90.55,GP,4G,Moderate,6,6
302,Gouripur,Mymensingh,2270,24.75833333,90.575,GP,4G,Low,3,5
303,Haluaghat,Mymensingh,2260,25.125,90.35,GP,4G,Low,3,4
304,Ishwarganj,Mymensingh,2280,24.6833,90.625,GP,4G,Low,3,4
305,Muktagacha,Mymensingh,2210,24.7583,90.2667,GP,4G,Moderate,6,6
306,Mymensingh Sadar,Mymensingh,2220,24.75,90.4167,GP,4G,Good,10,8
307,Nandail,Mymensingh,2290,24.5667,90.6833,GP,4G,Low,3,4.5
308,Phulpur,Mymensingh,2250,24.95,90.36166667,GP,4G,Low,3,4.5
309,Tarakanda,Mymensingh,2252,24.85,90.43333333,GP,4G,Low,3,4.5
310,Trishal,Mymensingh,2220,24.575,90.39166667,GP,4G,Moderate,6,5.5
311,Atpara,Netrakona,2470,24.8083,90.8667,GP,4G,Low,3,2.5
312,Barhatta,Netrakona,2440,24.9,90.875,GP,4G,Low,3,3
313,Durgapur,Netrakona,2420,25.125,90.6875,GP,4G,Low,3,4
314,Kalmakanda,Netrakona,2430,25.0833,90.8917,GP,4G,Low,3,3
315,Kendua,Netrakona,2480,24.65,90.8417,GP,4G,Low,3,4
316,Khaliajuri,Netrakona,2460,24.7,91.125,GP,4G,Very Low,1,1.5
317,Madan,Netrakona,2490,24.7167,90.9667,GP,4G,Low,3,4.5
318,Mohanganj,Netrakona,2446,24.8667,90.9667,GP,4G,Low,3,4.5
319,Netrakona Sadar,Netrakona,2400,24.875,90.7333,GP,4G,Moderate,6,7
320,Purbadhala,Netrakona,2410,24.9333,90.6028,GP,4G,Low,3,4.5
321,Jhenaigati,Sherpur,2120,25.1833,90.0667,GP,4G,Low,3,3
322,Nakla,Sherpur,2150,24.98333333,90.18333333,GP,4G,Low,3,4
323,Nalitabari,Sherpur,2110,25.08333333,90.18527778,GP,4G,Low,3,5
324,Sherpur Sadar,Sherpur,2100,25,90.0167,GP,4G,Moderate,6,6.5
